id_sitio,comuna,latitud,longitud,direccion,estado,cargadores_iniciales,cargadores_nuevos,cargadores_totales,capacidad_max_cargadores,paneles_iniciales,paneles_nuevos,paneles_totales,capacidad_max_paneles,utilizacion_cargadores_%,utilizacion_paneles_%
8,las_condes,-33.402910299999995,-70.5805565,Sin dirección,Existente,2,2,4,25,0,0,0,30,16.0,0.0
9,las_condes,-33.417641285142345,-70.58428103333472,Sin dirección,Existente,2,1,3,10,0,0,0,15,30.0,0.0
10,las_condes,-33.409509352186845,-70.57152558361726,Sin dirección,Existente,2,1,3,10,0,0,0,15,30.0,0.0
11,las_condes,-33.38421472840135,-70.53274852226514,Sin dirección,Existente,2,1,3,10,0,0,0,15,30.0,0.0
12,las_condes,-33.37071694761199,-70.50667710022468,Sin dirección,Existente,4,5,9,20,0,0,0,50,45.0,0.0
13,las_condes,-33.3885692,-70.5394063,Sin dirección,Existente,3,3,6,10,0,0,0,20,60.0,0.0
14,las_condes,-33.42322461702494,-70.5384874739651,Sin dirección,Existente,2,2,4,25,0,0,0,30,16.0,0.0
15,las_condes,-33.4196702824563,-70.58255269971521,Sin dirección,Existente,2,4,6,10,0,0,0,35,60.0,0.0
16,las_condes,-33.401679,-70.5688497,Sin dirección,Existente,4,0,4,25,0,0,0,30,16.0,0.0
17,las_condes,-33.41626118058888,-70.60560199127661,Sin dirección,Existente,2,1,3,8,0,0,0,14,37.5,0.0
18,las_condes,-33.4125242,-70.6029556,Sin dirección,Existente,2,2,4,25,0,0,0,30,16.0,0.0
19,las_condes,-33.4042602,-70.5799754,Sin dirección,Existente,2,5,7,30,0,0,0,40,23.3,0.0
20,las_condes,-33.4051349,-70.5703267,Sin dirección,Existente,8,0,8,25,0,0,0,30,32.0,0.0
21,las_condes,-33.42421025834505,-70.58033263586127,Sin dirección,Existente,3,1,4,25,0,0,0,30,16.0,0.0
22,las_condes,-33.41772040000001,-70.5522535,Sin dirección,Existente,5,1,6,10,0,0,0,20,60.0,0.0
23,las_condes,-33.41530989729218,-70.59545449033837,Sin dirección,Existente,2,1,3,10,0,0,0,15,30.0,0.0
24,las_condes,-33.41576042149333,-70.59395286809938,Sin dirección,Existente,2,1,3,10,0,0,0,15,30.0,0.0
25,las_condes,-33.4140631,-70.6003753,Sin dirección,Existente,4,0,4,2,0,0,0,10,200.0,0.0
26,las_condes,-33.430424185800014,-70.57954707470664,Sin dirección,Existente,2,2,4,25,0,0,0,30,16.0,0.0
27,las_condes,-33.40363760000001,-70.5835358,Sin dirección,Existente,2,2,4,25,0,0,0,30,16.0,0.0
28,las_condes,-33.4117105,-70.5777002,Sin dirección,Existente,2,2,4,25,0,0,0,30,16.0,0.0
29,las_condes,-33.41224618344874,-70.58317079505136,Sin dirección,Existente,2,2,4,25,0,0,0,30,16.0,0.0
30,las_condes,-33.41237863291539,-70.5811527508158,Sin dirección,Existente,2,1,3,8,0,0,0,14,37.5,0.0
31,las_condes,-33.41010892781549,-70.56989849288685,Sin dirección,Existente,2,7,9,20,0,50,50,50,45.0,100.0
32,las_condes,-33.40906191028623,-70.54502262767674,Sin dirección,Existente,3,3,6,10,0,0,0,20,60.0,0.0
33,las_condes,-33.42096712106408,-70.59509348489206,Sin dirección,Existente,4,0,4,25,0,0,0,30,16.0,0.0
34,las_condes,-33.4026927,-70.5800766,Sin dirección,Existente,2,2,4,25,0,0,0,30,16.0,0.0
35,las_condes,-33.40122940667526,-70.5754056945263,Sin dirección,Existente,6,3,9,20,0,0,0,50,45.0,0.0
36,las_condes,-33.40020577682716,-70.57429967749005,Sin dirección,Existente,1,2,3,10,0,0,0,15,30.0,0.0
37,las_condes,-33.395383798789915,-70.55457544138423,Sin dirección,Existente,18,0,18,25,0,0,0,30,72.0,0.0
38,las_condes,-33.40433481755876,-70.5735391387598,Sin dirección,Existente,2,1,3,10,0,0,0,15,30.0,0.0
39,las_condes,-33.405049302732614,-70.57313531821534,Sin dirección,Existente,3,0,3,10,0,0,0,15,30.0,0.0
40,las_condes,-33.40383409999999,-70.5080637,Sin dirección,Existente,2,2,4,25,0,0,0,30,16.0,0.0
41,las_condes,-33.40743666884236,-70.51109030337028,Sin dirección,Existente,2,4,6,10,0,0,0,20,60.0,0.0
0,lo_barnechea,-33.352303595318936,-70.52074441574428,Sin dirección,Existente,2,1,3,20,0,50,50,50,15.0,100.0
1,lo_barnechea,-33.36973641276923,-70.512286954066,Sin dirección,Existente,4,0,4,10,0,0,0,18,40.0,0.0
2,lo_barnechea,-33.3698136004734,-70.51784533480594,Sin dirección,Existente,2,0,2,25,0,0,0,30,8.0,0.0
3,lo_barnechea,-33.34368910942831,-70.54489639349026,Sin dirección,Existente,3,0,3,25,0,0,0,30,12.0,0.0
4,lo_barnechea,-33.3434290652381,-70.54454829756787,Sin dirección,Existente,2,1,3,20,0,50,50,50,15.0,100.0
5,lo_barnechea,-33.35984030151681,-70.51605667188973,Sin dirección,Existente,2,0,2,10,0,0,0,20,20.0,0.0
6,lo_barnechea,-33.3567516,-70.539912,Sin dirección,Existente,2,1,3,20,0,50,50,50,15.0,100.0
7,lo_barnechea,-33.3238862,-70.5385981,Sin dirección,Existente,2,1,3,10,0,0,0,18,30.0,0.0
0,macul,-33.48722290005619,-70.59896689999884,Sin dirección,Existente,2,0,2,10,0,0,0,15,20.0,0.0
1,macul,-33.48099046017784,-70.59975325332154,Sin dirección,Existente,2,0,2,10,0,0,0,18,20.0,0.0
2,macul,-33.4900762,-70.5937147,Sin dirección,Existente,2,1,3,30,0,0,0,40,10.0,0.0
3,macul,-33.498612040229546,-70.61069656352336,Sin dirección,Existente,4,0,4,10,0,0,0,35,40.0,0.0
0,maipu,-33.49589859999998,-70.7570666,Sin dirección,Existente,3,4,7,10,0,0,0,20,70.0,0.0
1,maipu,-33.49247290000001,-70.7552402,Sin dirección,Existente,2,4,6,25,0,0,0,30,24.0,0.0
2,maipu,-33.5108757,-70.7580517,Sin dirección,Existente,2,7,9,10,0,0,0,18,90.0,0.0
3,maipu,-33.52550398257197,-70.75247397465091,Sin dirección,Existente,3,4,7,10,0,0,0,20,70.0,0.0
4,maipu,-33.54753409999999,-70.7894112,Sin dirección,Existente,2,7,9,10,0,0,0,18,90.0,0.0
5,maipu,-33.50085335235403,-70.75664088379729,Sin dirección,Existente,2,9,11,20,0,50,50,50,55.0,100.0
6,maipu,-33.55450009999999,-70.7954757,Sin dirección,Existente,3,4,7,10,0,0,0,20,70.0,0.0
7,maipu,-33.51003291297676,-70.74995099968517,Sin dirección,Existente,2,6,8,10,0,0,0,35,80.0,0.0
