electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m
,,,,,,,,0,,,,commercial,,Providencia,-70.6126086397204,-33.42682531840277,commercial,10,
,,,,,,,,0,Metlife,,,commercial,,Providencia,-70.61304744994614,-33.427810350082666,commercial,10,
,,,,,,,,0,SII,,,commercial,,Providencia,-70.6178725999008,-33.430606650124936,commercial,10,
,,,,,,,,0,,,,commercial,,Providencia,-70.60659076289879,-33.42073216667303,commercial,10,
,,,,,,,,0,Edificio Costanera 1,,,office,,Providencia,-70.61365834825804,-33.42195757129462,office,8,
,,,,,,,,0,,,,office,,Providencia,-70.6214767735016,-33.42612569945988,office,8,
,,,,,,,,0,Hospital Metropolitano,hospital,,,,Providencia,-70.60512446086857,-33.41893861138321,hospital,6,
,,,,,,,,0,Campus Santiago Universidad de Talca,university,,yes,,Providencia,-70.62779298855563,-33.43666116881914,university,10,
,,,,,,,,0,,,,commercial,,Providencia,-70.60225172051919,-33.43035415283375,commercial,10,
,,,,,,,,0,,,,commercial,,Providencia,-70.5923166695634,-33.425624433750585,commercial,10,
,,,,,,,,0,Lider Express,,supermarket,yes,,Providencia,-70.59267323660947,-33.425601219686435,supermarket,10,
,,,,,,,,0,Copec,fuel,,roof,,Providencia,-70.58691876180418,-33.43005832415029,fuel,10,
,,,,,,,,0,Shell,fuel,,roof,,Providencia,-70.59310235000196,-33.4275163000054,fuel,10,
,,,,,,,,0,Lider Express,,supermarket,yes,,Providencia,-70.63065135352994,-33.440750524783255,supermarket,10,
,,,,,,,,0,Lider Express,parking,,,,Providencia,-70.63024679164177,-33.44056878634971,parking,25,
,,,,,,,,0,Torre 3 Costanera,,,commercial,,Providencia,-70.60566862118323,-33.417395257545024,commercial,10,
,,,,,,,,0,Torre 1 Costanera,,,commercial,,Providencia,-70.6074534127529,-33.41779344707657,commercial,10,
,,,,,,,,0,Cenco Costanera,,mall,yes,,Providencia,-70.60655737162418,-33.41792456968653,mall,20,
,,,,,,,,0,Edificio El Libertador,,,commercial,,Providencia,-70.6120239187223,-33.42669511460716,commercial,10,
,,,,,,,,0,,,,commercial,,Providencia,-70.6122745946772,-33.42677221990245,commercial,10,
,,,,,,,,0,,,,office,,Providencia,-70.6113587998439,-33.41373350001015,office,8,
,,,,,,,,0,,,,retail,,Providencia,-70.58534089701122,-33.43138110526246,retail,6,
,,,,,,,,0,Lider Express,,supermarket,yes,,Providencia,-70.61985739130468,-33.44536874378878,supermarket,10,
,,,,,,,,0,Colunga Hub,,,office,,Providencia,-70.63252860996148,-33.437772426307816,office,8,
,,,,,,,,0,Unimarc,,supermarket,retail,,Providencia,-70.60650112713898,-33.4377042953244,supermarket,10,
,,,,,,,,0,Derco,,car,commercial,,Providencia,-70.6019512697068,-33.43746534541629,car,13,
,,,,,,,,0,,,,commercial,,Providencia,-70.61276010561674,-33.417183115848644,commercial,10,
,,,,,,,,0,Mercado Diego de Almagro,,,commercial,,Providencia,-70.59911483706115,-33.4416601506234,commercial,10,
,,,,,,,,0,,,,commercial,,Providencia,-70.59921717685836,-33.441983793215485,commercial,10,
,,,,,,,,0,,,,commercial,,Providencia,-70.60052989043847,-33.43950987117269,commercial,10,
,,,,,,,,0,Lider Express,,supermarket,yes,,Providencia,-70.60845382752862,-33.43999194593677,supermarket,10,
,,,,,,,,0,Cuatroojos Publicidad,,,office,,Providencia,-70.6013925067869,-33.42851357186374,office,8,
,,,,,,,,0,Banco de Chile,bank,,office,,Providencia,-70.59577226846913,-33.422988789279735,bank,13,
,,,,,,,,0,,,,office,,Providencia,-70.61405143288954,-33.437481430177456,office,8,
,,,,,,,,0,,,,office,,Providencia,-70.6140248770425,-33.43730831955659,office,8,
,,,,,,,,0,Lider,,supermarket,yes,,Providencia,-70.6013347772401,-33.43663707007559,supermarket,10,
,,,,,,,,0,Estacionamiento Privado,parking,,,,Providencia,-70.63040202170868,-33.44189679472206,parking,25,
,,,,,,,,0,Edificio San Pio X,,,commercial,,Providencia,-70.60451240029133,-33.42090809988807,commercial,10,
,,,,,,,,0,,,,commercial,,Providencia,-70.60491637581782,-33.421235367267435,commercial,10,
,,,,,,,,0,Federación Internacional de Sociedades de la Cruz Roja y de la Media Luna Roja IFRC,,,office,,Providencia,-70.63345558995636,-33.43521407191539,office,8,
,,,,,,,,0,,parking,,,,Providencia,-70.63341080377549,-33.43534834327757,parking,25,
,,,,,,,,0,"Universidad Andres Bello, Facultad de Negocios",university,,yes,,Providencia,-70.60404416813542,-33.42656985398866,university,10,
,,,,,,,,0,,,,commercial,,Providencia,-70.60342045007003,-33.42844174996149,commercial,10,
,,,,,,,,0,Imation,,,commercial,,Providencia,-70.60191249997567,-33.434429500054655,commercial,10,
,,,,,,,,0,,,,commercial,,Providencia,-70.60270806420773,-33.43109281962421,commercial,10,
