electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m
,,,,,,,,0,,,mall,yes,,Vitacura,-70.57105951323345,-33.38055038949996,mall,20,
,,,,,,,,0,,parking,,,,Vitacura,-70.5691770330881,-33.376647775355664,parking,25,
,,,,,,,,0,,,,commercial,,Vitacura,-70.57292669622413,-33.39536666852164,commercial,10,
,,,,,,,,0,,,,retail,,Vitacura,-70.59722329865613,-33.39654740999345,retail,6,
,,,,,,,,0,,,,commercial,,Vitacura,-70.59161120737774,-33.39977290391913,commercial,10,
,,,,,,,,0,Isapre Colmena,,,office,,Vitacura,-70.57665523102204,-33.39283479756048,office,8,
,,,,,,,,0,Bubbles,car_wash,,yes,,Vitacura,-70.56041411269247,-33.385591076948,car_wash,2,
,,,,,,,,0,Colegio Alemán de Santiago,parking,,,,Vitacura,-70.57003210896573,-33.396682495400874,parking,25,
,,,,,,,,0,Petegou,,pet,retail,,Vitacura,-70.58843934999766,-33.39930550002186,pet,13,
,,,,,,,,0,,,,commercial,,Vitacura,-70.56991211104874,-33.39385625849575,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.5932428730678,-33.399544249807164,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.5689743464328,-33.387607736071786,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.56763948249834,-33.38605908938015,commercial,10,
,,,,,,,,0,Edificio Nueva Costanera,,,commercial,,Vitacura,-70.59701829998687,-33.39543020000681,commercial,10,
,,,,,,,,0,Bash,,,retail,,Vitacura,-70.59699546640316,-33.39570560979009,retail,6,
,,,,,,,,0,Miele,,electronics,retail,,Vitacura,-70.59711353143342,-33.395880477517395,electronics,13,
,,,,,,,,0,,,,retail,,Vitacura,-70.59743080000773,-33.39800785002895,retail,6,
,,,,,,,,0,,,,retail,,Vitacura,-70.58052254303139,-33.39263901026652,retail,6,
,,,,,,,,0,Cubillos,,,commercial,,Vitacura,-70.58045492459881,-33.39236230693875,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.59324414020801,-33.39281411620384,commercial,10,
,,,,,,,,0,Cumaru,restaurant,,commercial,,Vitacura,-70.59763947221353,-33.39531459698489,restaurant,13,
,,,,,,,,0,,,clothes,retail,,Vitacura,-70.59780705750407,-33.39593836651154,clothes,13,
,,,,,,,,0,,,,retail,,Vitacura,-70.56470260966093,-33.38637489781635,retail,6,
,,,,,,,,0,,,,retail,,Vitacura,-70.56435900150589,-33.38616478019485,retail,6,
,,,,,,,,0,,,,commercial,,Vitacura,-70.5981572364831,-33.39608644692133,commercial,10,
,,,,,,,,0,,,,retail,,Vitacura,-70.59785184246256,-33.396495083644616,retail,6,
,,,,,,,,0,,,,commercial,,Vitacura,-70.57716804708883,-33.386889842551746,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.57777020560438,-33.388092067262555,commercial,10,
,,,,,,,,0,,,,retail,,Vitacura,-70.59131582186869,-33.399510436775024,retail,6,
,,,,,,,,0,,,mall,yes,,Vitacura,-70.57626397729315,-33.387619728453046,mall,20,
,,,,,,,,0,,,,office,,Vitacura,-70.57392940550227,-33.3983604109786,office,8,
,,,,,,,,0,,,,commercial,,Vitacura,-70.59032787218538,-33.404734561312125,commercial,10,
,,,,,,,,0,,,,retail,,Vitacura,-70.5873441838649,-33.40239977856299,retail,6,
,,,,,,,,0,,,,commercial,,Vitacura,-70.5872028523461,-33.40299118025104,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.59326496094226,-33.39925088859105,commercial,10,
,,,,,,,,0,,parking,,,,Vitacura,-70.57753139042896,-33.38881732787503,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.57620211740586,-33.393225900548934,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.57536279785542,-33.39277144135704,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.57842239982135,-33.39137723010969,parking,25,
,,,,,,,,0,,,,commercial,,Vitacura,-70.52411955872324,-33.37487914353192,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.52501254995323,-33.375441400101,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.52452593232704,-33.375190543856185,commercial,10,
,,,,,,,,0,,parking,,,,Vitacura,-70.59038246701328,-33.399167633762865,parking,25,
,,,,,,,,0,,,,commercial,,Vitacura,-70.58751894990351,-33.39795900014013,commercial,10,
,,,,,,,,0,,parking,,,,Vitacura,-70.56547816109445,-33.3950374004251,parking,25,
,,,,,,,,0,,,,commercial,,Vitacura,-70.56463374759574,-33.395095170813235,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.56430361091837,-33.39500463092051,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.56494205004752,-33.39488910000608,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.59355685002807,-33.399811950096435,commercial,10,
,,,,,,,,0,,,,retail,,Vitacura,-70.59892375742886,-33.397735271377265,retail,6,
,,,,,,,,0,,parking,,,,Vitacura,-70.59685797740259,-33.39592440378982,parking,25,
,,,,,,,,0,,,,retail,,Vitacura,-70.59701824999954,-33.395152250011314,retail,6,
,,,,,,,,0,,,,commercial,,Vitacura,-70.58194401254518,-33.399252376749715,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.59773878881883,-33.39574022040088,commercial,10,
,,,,,,,,0,,parking,,,,Vitacura,-70.59755189999905,-33.39879180001186,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.58251089828838,-33.39733892145949,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.59873429999996,-33.40031325003771,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.592600070697,-33.392051486068574,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.58068750073116,-33.392620575748325,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.59118182376238,-33.386233039705125,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.58992310296273,-33.38571829531336,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.59330318271962,-33.4009492454975,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.59730170002072,-33.39728060008825,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.59805680002088,-33.397632200069644,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.5977788499974,-33.39506215001204,parking,25,
,,,,,,,,0,,,,commercial,,Vitacura,-70.59790563204372,-33.39619889015486,commercial,10,
,,,,,,,,0,Club de Planeadores,parking,,,,Vitacura,-70.57756532409266,-33.37927582585873,parking,25,
,,,,,,,,0,Club de Planeadores de Vitacura,parking,,,,Vitacura,-70.57978808985422,-33.379548490651544,parking,25,
,,,,,,,,0,Oficinas Vertical,,,office,,Vitacura,-70.55392289889276,-33.39128113441707,office,8,
,,,,,,,,0,,,,commercial,,Vitacura,-70.58754209075718,-33.40405934779868,commercial,10,
,,,,,,,,0,,,,retail,,Vitacura,-70.58779642108341,-33.40395107027065,retail,6,
,,,,,,,,0,,parking,,,,Vitacura,-70.55528737231514,-33.37678175616399,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.54923010075602,-33.375327520857454,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.54475767500915,-33.37630806571882,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.58932035938636,-33.39914940992213,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.59107500554899,-33.39966711990007,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.55941042212683,-33.36950437959302,parking,25,
,,,,,,,,0,,,,commercial,,Vitacura,-70.59454965136791,-33.39209576724,commercial,10,
,,,,,,,,0,Edificio Kennedy Plaza,,,office,,Vitacura,-70.57648845250651,-33.399327131298314,office,8,
,,,,,,,,0,Empanadas Argentinas,,bakery,retail,,Vitacura,-70.59312660109238,-33.402493253889794,bakery,13,
,,,,,,,,0,,parking,,,,Vitacura,-70.57885985419999,-33.39107027435852,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.605858300083,-33.407655094173336,parking,25,
,,,,,,,,0,Petrobras,fuel,,,,Vitacura,-70.55147283574762,-33.384293289681715,fuel,10,
,,,,,,,,0,,parking,,,,Vitacura,-70.54919671213563,-33.38826476535212,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.57249570521957,-33.38395982712087,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.564613182558,-33.39169402708771,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.57265725501058,-33.39553395294869,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.58002807825711,-33.3715777975677,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.58137746180967,-33.371704860459374,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.58049684827154,-33.37163041982661,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.58195219999659,-33.371756300040445,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.60074510775809,-33.393025446359054,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.6002191796936,-33.39345584825462,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.55216004331076,-33.38444203049052,parking,25,
,,,,,,,,0,Colegio Santa Úrsula,parking,,,,Vitacura,-70.59744187123003,-33.3942845697406,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.60050419670856,-33.39264886537526,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.58915508192067,-33.38463507975746,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.58912827678061,-33.38480925257456,parking,25,
,,,,,,,,0,Balthus,parking,,,,Vitacura,-70.58269743799164,-33.38248728458571,parking,25,
,,,,,,,,0,Estacionamiento Youtopia,parking,,,,Vitacura,-70.58487389337569,-33.38289863212831,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.52614650495107,-33.37583656491138,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.59384096555202,-33.38761312196243,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.59384096555202,-33.38761312196243,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.55126273036392,-33.37857122584391,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.54869147188685,-33.378214071272886,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.54944329414668,-33.378788306640466,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.54929010850255,-33.37927905136442,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.55206987164408,-33.37817861846395,parking,25,
,,,,,,,,0,Estacionamiento de la Clínica Alemana,parking,,,,Vitacura,-70.5728384120077,-33.39346626936687,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.60010297408355,-33.38666804041633,parking,25,
,,,,,,,,0,Saint George's College,parking,,,,Vitacura,-70.60072030144504,-33.38628563812961,parking,25,
,,,,,,,,0,Saint George's College,parking,,,,Vitacura,-70.59738305661529,-33.384590874696,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.58908784644959,-33.3790753983936,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.57090753776367,-33.38064631935908,parking,25,
,,,,,,,,0,Copec,fuel,,,,Vitacura,-70.58937460137462,-33.39965010564468,fuel,10,
,,,,,,,,0,,parking,,,,Vitacura,-70.56263514035976,-33.386852249597524,parking,25,
,,,,,,,,0,,,,office,,Vitacura,-70.59924258194208,-33.40494297839025,office,8,
,,,,,,,,0,,parking,,,,Vitacura,-70.57659582853242,-33.392899293671995,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.57671876816909,-33.39298387135511,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.57719125998707,-33.393221572470225,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.57691619213546,-33.39311473352716,parking,25,
