name,amenity,shop,building,leisure,comuna,lon,lat,tipo_osm,Zcap
,parking,,,,Maipú,-70.79208580720295,-33.5525255571952,parking,25
,parking,,,,Maipú,-70.77081866434193,-33.53931689397391,parking,25
,parking,,,,Maipú,-70.74502788969684,-33.489879878809674,parking,25
,parking,,,,Maipú,-70.73834350292874,-33.492681576600255,parking,25
,parking,,,,Maipú,-70.7689198515561,-33.54059442785774,parking,25
Lider,,supermarket,yes,,Maipú,-70.76792268256774,-33.541052293645976,supermarket,10
Supermercado Acuenta,,supermarket,yes,,Maipú,-70.79013892694977,-33.5046033094013,supermarket,10
Estacionamiento Cancha 4 Alamos,parking,,,,Maipú,-70.7504531289266,-33.51844244205191,parking,25
Santa Isabel,,supermarket,yes,,Maipú,-70.78681173136704,-33.56047283199394,supermarket,10
,parking,,,,Maipú,-70.78171930609592,-33.56136289279116,parking,25
Santa Isabel,,supermarket,yes,,Maipú,-70.7839264746033,-33.55905648822532,supermarket,10
,parking,,,,Maipú,-70.74279274263304,-33.4883851296982,parking,25
,fuel,,yes,,Maipú,-70.7430360499988,-33.510022049991264,fuel,10
Mall Arauco Maipú,,mall,retail,,Maipú,-70.75090452167143,-33.482583353544776,mall,20
,parking,,,,Maipú,-70.78448428715528,-33.49124035104446,parking,25
,parking,,,,Maipú,-70.77480105398175,-33.50595400702531,parking,25
,parking,,,,Maipú,-70.75721228753949,-33.47457677839097,parking,25
,parking,,,,Maipú,-70.73833850456192,-33.48493926609772,parking,25
,parking,,,,Maipú,-70.75610027075304,-33.51165539191718,parking,25
CESFAM El Abrazo,hospital,,,,Maipú,-70.76465450646295,-33.55269196775496,hospital,6
,parking,,,,Maipú,-70.77159914629564,-33.53850214944899,parking,25
,parking,,,,Maipú,-70.77814665000969,-33.51459639999484,parking,25
,parking,,,,Maipú,-70.77810499711288,-33.51499047044118,parking,25
,parking,,,,Maipú,-70.77439991030113,-33.507398637187435,parking,25
,parking,,,,Maipú,-70.77319762687708,-33.508634653714026,parking,25
,parking,,,,Maipú,-70.79117003226027,-33.51139136804056,parking,25
Cerro Primo de Rivera,parking,,,,Maipú,-70.75690618587612,-33.4944987993742,parking,25
,parking,,,,Maipú,-70.7490435860979,-33.50919483807888,parking,25
,parking,,,,Maipú,-70.73415760524892,-33.52316846773173,parking,25
,parking,,,,Maipú,-70.75043441562275,-33.479540744364414,parking,25
Mall Arauco Maipú,parking,,,,Maipú,-70.75013057053353,-33.48138763767123,parking,25
,parking,,,,Maipú,-70.74937705520475,-33.482363499702934,parking,25
,parking,,,,Maipú,-70.75145152954767,-33.484983331953984,parking,25
,parking,,,,Maipú,-70.76799974993168,-33.48809910004163,parking,25
,parking,,,,Maipú,-70.76577555197103,-33.48660907737718,parking,25
,parking,,,,Maipú,-70.76246635585176,-33.47375342815725,parking,25
,,,commercial,,Maipú,-70.7797474500031,-33.5242586501049,commercial,10
,parking,,,,Maipú,-70.77824930000017,-33.52325500000176,parking,25
,parking,,,,Maipú,-70.77266850918991,-33.5084122106182,parking,25
Ruta 78,fuel,,,,Maipú,-70.75390170224746,-33.483445976124145,fuel,10
Hiper Lider Maipú,parking,,,,Maipú,-70.74575098795414,-33.481358220031765,parking,25
,parking,,,,Maipú,-70.76795658633374,-33.48556503588554,parking,25
,parking,,,,Maipú,-70.77081755680491,-33.50862017462993,parking,25
,parking,,,,Maipú,-70.77215729673405,-33.50821050932043,parking,25
El Descanso Boulevard,,mall,yes,,Maipú,-70.75746417985167,-33.46990370015793,mall,20
Clínica Indisa Maipú,hospital,,,,Maipú,-70.75448449098201,-33.478192872502305,hospital,6
,parking,,,,Maipú,-70.73590459344646,-33.5302479834033,parking,25
,parking,,,,Maipú,-70.75649298261149,-33.545809163330354,parking,25
,parking,,,,Maipú,-70.78385856740782,-33.55946944810644,parking,25
,parking,,,,Maipú,-70.75792748350266,-33.513484816597085,parking,25
,parking,,,,Maipú,-70.76051896560311,-33.51021797407979,parking,25
,parking,,,,Maipú,-70.76061257701741,-33.50989455822619,parking,25
,parking,,,,Maipú,-70.76250357465274,-33.50876682715557,parking,25
,parking,,,,Maipú,-70.7595596961329,-33.50837396807845,parking,25
,parking,,,,Maipú,-70.75939723367142,-33.524813836339696,parking,25
,parking,,,,Maipú,-70.75933232457874,-33.52438184016076,parking,25
,parking,,,,Maipú,-70.76780077079366,-33.4996996488538,parking,25
,parking,,,,Maipú,-70.7703720620501,-33.48983538911628,parking,25
Lider,,supermarket,yes,,Maipú,-70.77786420600974,-33.52851596099085,supermarket,10
,parking,,,,Maipú,-70.77086052027559,-33.50284423088546,parking,25
,parking,,,,Maipú,-70.77134365030489,-33.50287358947103,parking,25
,parking,,,,Maipú,-70.77918422830753,-33.49100204890856,parking,25
,parking,,,,Maipú,-70.76915761941294,-33.559720536444814,parking,25
,parking,,,,Maipú,-70.76991707724993,-33.56191710846201,parking,25
,parking,,,,Maipú,-70.7696171882137,-33.56083139734802,parking,25
,parking,,,,Maipú,-70.77027084972514,-33.5586023000737,parking,25
Estación Experimental Agronómica Germán Greve Silva (U. de Chile),university,,,,Maipú,-70.82790335919151,-33.50078758293802,university,10
Enel x Metbus,charging_station,,,,Maipú,-70.76327680363467,-33.47081323360287,charging_station,30
Boulevard Terrazas Maipú,,mall,yes,,Maipú,-70.75664088379729,-33.50085335235403,mall,20
Shell,fuel,,,,Maipú,-70.75699757648704,-33.50197344530188,fuel,10
,parking,,,,Maipú,-70.77156762485828,-33.48729772855266,parking,25
,,mall,yes,,Maipú,-70.76321876805207,-33.48333299988523,mall,20
,parking,,,,Maipú,-70.7926266348954,-33.531486531003345,parking,25
,parking,,,,Maipú,-70.75637295364768,-33.50771757164047,parking,25
,,,retail,,Maipú,-70.78470920271752,-33.55744403666125,retail,6
,,,retail,,Maipú,-70.79584046406801,-33.55686263249182,retail,6
,parking,,,,Maipú,-70.75891489154972,-33.52052359997588,parking,25
,parking,,,,Maipú,-70.75878062132787,-33.520205577262566,parking,25
,parking,,,,Maipú,-70.79117065000645,-33.5245428001114,parking,25
