name,amenity,shop,building,leisure,comuna,lon,lat,tipo_osm,Zcap
Patio Berta Correa,,,retail,,Huechuraba,-70.67827506803138,-33.35384398693207,retail,6
SuperBodega aCuenta,,supermarket,yes,,Huechuraba,-70.63927636311885,-33.37910257846367,supermarket,10
Centro de Eventos Espacio Riesco,parking,,,,Huechuraba,-70.62569354097572,-33.385757765572784,parking,25
Patio Huechuraba,,,retail,,Huechuraba,-70.66993688466818,-33.347496475136914,retail,6
Fundación Cristo Vive,social_facility,,office,,Huechuraba,-70.63735883764471,-33.376491088298806,social_facility,13
,parking,,,,Huechuraba,-70.63764200027006,-33.376914233909375,parking,25
,parking,,,,Huechuraba,-70.62386319181157,-33.38488239168305,parking,25
Estacionamiento Área Central,parking,,,,Huechuraba,-70.61663948547661,-33.39035056535091,parking,25
Estacionamiento Área Central,parking,,,,Huechuraba,-70.61663948547661,-33.39035056535091,parking,25
"Facultad de Economía y Empresas, Universidad Diego Portales",university,,,,Huechuraba,-70.61277267300704,-33.3931634896634,university,10
,parking,,,,Huechuraba,-70.6146536517648,-33.39518158947808,parking,25
ClaroVTR,,,commercial,,Huechuraba,-70.62168804891209,-33.382411029788145,commercial,10
,,,retail,,Huechuraba,-70.62297609810732,-33.39318378582949,retail,6
,,,commercial,,Huechuraba,-70.65036279900362,-33.372043816278314,commercial,10
Arauco Express,,,retail,,Huechuraba,-70.67069817707407,-33.345563086035405,retail,6
,,,retail,,Huechuraba,-70.6712480701369,-33.35536905765718,retail,6
,,,commercial,,Huechuraba,-70.67697223840943,-33.3618847171294,commercial,10
,parking,,,,Huechuraba,-70.61293398654968,-33.39053069187371,parking,25
,parking,,,,Huechuraba,-70.61646973769568,-33.38819542430403,parking,25
,parking,,,,Huechuraba,-70.68274539504367,-33.35029624645218,parking,25
,,,office,,Huechuraba,-70.67018555344039,-33.36425755275144,office,8
,parking,,,,Huechuraba,-70.61206166656527,-33.37793494615722,parking,25
,parking,,,,Huechuraba,-70.63896505655781,-33.38085349948175,parking,25
Shell,fuel,,,,Huechuraba,-70.67024148764689,-33.36089075546464,fuel,10
,parking,,,,Huechuraba,-70.65356379999709,-33.37499405008741,parking,25
Mall Plaza Norte,parking,,,,Huechuraba,-70.67650422920296,-33.364803914751654,parking,25
,parking,,,,Huechuraba,-70.66340834426384,-33.357871014423935,parking,25
,parking,,,,Huechuraba,-70.61220798065189,-33.37737472854814,parking,25
,parking,,,,Huechuraba,-70.61499024968441,-33.37689360055256,parking,25
Copec,fuel,,,,Huechuraba,-70.67004315762236,-33.36004063891153,fuel,10
Centro de Educación Ambiental Bosque Santiago,parking,,,,Huechuraba,-70.60991635745555,-33.37699956652096,parking,25
,parking,,,,Huechuraba,-70.67496164761482,-33.35358615999329,parking,25
,,,retail,,Huechuraba,-70.67000659287181,-33.367114626931695,retail,6
,,,retail,,Huechuraba,-70.6700558409989,-33.362098381334235,retail,6
,parking,,,,Huechuraba,-70.67014930033346,-33.34794104163717,parking,25
,parking,,,,Huechuraba,-70.6780681722823,-33.35433337906702,parking,25
,parking,,,,Huechuraba,-70.6804034675795,-33.36711072119919,parking,25
,parking,,,,Huechuraba,-70.67037233420953,-33.36521874836292,parking,25
,,,retail,,Huechuraba,-70.67026884493349,-33.366275358927446,retail,6
,parking,,,,Huechuraba,-70.67019348346982,-33.367291232040216,parking,25
