name,amenity,shop,building,leisure,comuna,lon,lat,tipo_osm,Zcap
,,,retail,,Ñuñoa,-70.62406337204973,-33.45311968989488,retail,6
Lider Express,,supermarket,yes,,Ñuñoa,-70.62249540955861,-33.4533153390402,supermarket,10
Estacionamiento Express de Lider,parking,,,,Ñuñoa,-70.62273974034422,-33.453303482077004,parking,25
"Dercocenter Haval, JAC, Great Wall y Haval",,car,commercial,,Ñuñoa,-70.62447384662381,-33.45291541969021,car,13
,,,commercial,,Ñuñoa,-70.58953834448239,-33.45569509955008,commercial,10
,,,retail,,Ñuñoa,-70.57776580736737,-33.43670488931571,retail,6
,,,retail,,Ñuñoa,-70.57640153834247,-33.44837756266276,retail,6
,,,retail,,Ñuñoa,-70.58456200003216,-33.46194450006696,retail,6
Ekono,,supermarket,yes,,Ñuñoa,-70.58770119615127,-33.47236002941115,supermarket,10
,parking,,,,Ñuñoa,-70.57314472830814,-33.441690869592335,parking,25
,,,commercial,,Ñuñoa,-70.60908930591037,-33.44947001804028,commercial,10
Cafetería UTC INACAP,cafe,,commercial,,Ñuñoa,-70.5925536200178,-33.452374983259794,cafe,13
INACAP Ñuñoa,university,,,,Ñuñoa,-70.59231120885318,-33.45267914108084,university,10
,parking,,,,Ñuñoa,-70.58614875033304,-33.472561300615176,parking,25
,,,commercial,,Ñuñoa,-70.59374606033971,-33.453206376048385,commercial,10
,,mall,yes,,Ñuñoa,-70.58945911770381,-33.45093906412271,mall,20
,,,retail,,Ñuñoa,-70.57890374918415,-33.45479711029043,retail,6
Centro de Especialidades Verona,veterinary,,commercial,,Ñuñoa,-70.59759032433347,-33.45648319304553,veterinary,13
,parking,,,,Ñuñoa,-70.61041864999639,-33.47233775009156,parking,25
,parking,,,,Ñuñoa,-70.57673136960152,-33.4551926321098,parking,25
Shell,fuel,,,,Ñuñoa,-70.57247432407455,-33.44574353397956,fuel,10
Copec,fuel,,,,Ñuñoa,-70.6056966722671,-33.46203700023477,fuel,10
,parking,,,,Ñuñoa,-70.58578799999675,-33.444754750002986,parking,25
Copec,fuel,,,,Ñuñoa,-70.58564662584213,-33.45105972029872,fuel,10
,,shopping_centre,retail,,Ñuñoa,-70.62133058819896,-33.45002769030645,shopping_centre,13
Lider Express,,supermarket,yes,,Ñuñoa,-70.58037106791383,-33.44866429989932,supermarket,10
,parking,,,,Ñuñoa,-70.60882290138146,-33.455026867037446,parking,25
Shell,fuel,,,,Ñuñoa,-70.60540147711819,-33.45540250621124,fuel,10
,,,commercial,,Ñuñoa,-70.59081696001425,-33.44864327166295,commercial,10
Estacionamiento,parking,,,,Ñuñoa,-70.5808018596855,-33.459081566311845,parking,25
Utem M10,university,,,,Ñuñoa,-70.5978853001339,-33.469378451047625,university,10
,,,retail,,Ñuñoa,-70.58049007312903,-33.46162862030682,retail,6
,parking,,,,Ñuñoa,-70.57864152572922,-33.45811441375875,parking,25
BDLF Bazar de las Flores,,,retail,,Ñuñoa,-70.58934276047763,-33.454409105087464,retail,6
,,,commercial,,Ñuñoa,-70.59060744970137,-33.44868083722334,commercial,10
Hospital de Carabineros Hoscar,hospital,,,,Ñuñoa,-70.60897767885214,-33.44987389224382,hospital,6
,parking,,,,Ñuñoa,-70.57494816690769,-33.4541493419944,parking,25
Copec,fuel,,,,Ñuñoa,-70.57508356632985,-33.45413345831513,fuel,10
,,,office,,Ñuñoa,-70.60959643736459,-33.44618271492131,office,8
,parking,,,,Ñuñoa,-70.59325260684666,-33.45431418387831,parking,25
Correos de Chile,post_office,,commercial,,Ñuñoa,-70.59981194844879,-33.45371374830781,post_office,13
Vitamina - Sala Cuna y Jardín infantil Suecia,kindergarten,,commercial,,Ñuñoa,-70.59989089320938,-33.45362546398629,kindergarten,13
,,,commercial,,Ñuñoa,-70.59948821048734,-33.45524611266033,commercial,10
,,,commercial,,Ñuñoa,-70.59946075604614,-33.45611203431701,commercial,10
,,,commercial,,Ñuñoa,-70.59479810746113,-33.45553471146856,commercial,10
,,,commercial,,Ñuñoa,-70.59235371786617,-33.45510024051344,commercial,10
Niu Sushi,restaurant,,commercial,,Ñuñoa,-70.59351603997015,-33.45361237615155,restaurant,13
,,,commercial,,Ñuñoa,-70.5961178210765,-33.45488381542555,commercial,10
Edificio Don Miguel,,,commercial,,Ñuñoa,-70.59760706259252,-33.45464522279967,commercial,10
,parking,,garage,,Ñuñoa,-70.59270579763601,-33.455893547409005,parking,25
UGS,,,commercial,,Ñuñoa,-70.59778306341516,-33.4629027743137,commercial,10
Rincón Ñuñoa,,,commercial,,Ñuñoa,-70.59847884999988,-33.462249500006166,commercial,10
,,car_repair,commercial,,Ñuñoa,-70.5981729606795,-33.458301469395565,car_repair,13
,parking,,,,Ñuñoa,-70.59294927459858,-33.45431649667543,parking,25
Coopeuch,bank,,commercial,,Ñuñoa,-70.59944303900761,-33.45495271852667,bank,13
,parking,,,,Ñuñoa,-70.59817860810593,-33.45610162469032,parking,25
Universidad Tecnológica Metropolitana (Campus Nuñoa),university,,,,Ñuñoa,-70.59727594452853,-33.46627143391729,university,10
,parking,,,,Ñuñoa,-70.59592390609224,-33.453756688707905,parking,25
,parking,,,,Ñuñoa,-70.57855124176409,-33.460275399685706,parking,25
,parking,,,,Ñuñoa,-70.57791092900959,-33.459402066056775,parking,25
,parking,,,,Ñuñoa,-70.57927644598371,-33.46003718762926,parking,25
,parking,,,,Ñuñoa,-70.60725187710453,-33.45471797408986,parking,25
Lider Express,,supermarket,yes,,Ñuñoa,-70.61488807003359,-33.455673328508794,supermarket,10
,parking,,,,Ñuñoa,-70.60926166886397,-33.45955542277236,parking,25
,parking,,,,Ñuñoa,-70.58766305824673,-33.466958630579924,parking,25
,parking,,,,Ñuñoa,-70.59566474157592,-33.46145285076619,parking,25
,parking,,,,Ñuñoa,-70.58449778099394,-33.4708384067409,parking,25
,parking,,,,Ñuñoa,-70.57945407160823,-33.4596259747772,parking,25
