electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,dpc_Pcap,dpc_Zmax,dpc_Z_inicial,distancia_m,demand_estimated
,,,,,,,,0,,parking,,,,Pudahuel,-70.74592740000001,-33.43653609999999,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7467514,-33.4366459,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7529893,-33.44370889999999,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7431164,-33.436302999999995,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7426278,-33.4363059,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7421968,-33.436330299999995,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7412403,-33.4362948,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7465193,-33.4365101,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7411682,-33.441585900000014,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7413554,-33.44177450000001,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.74101590000001,-33.441786599999986,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7435629,-33.4484395,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7443051,-33.44854599999999,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7424605,-33.44896369999999,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7413418,-33.44972829999999,parking,25,30,0,,135
,,,,,,,,0,Alvi Club Mayorista,,supermarket,,,Pudahuel,-70.7392022,-33.4554016,supermarket,10,18,0,,156
,,,,,,,,0,,parking,,,,Pudahuel,-70.8043872,-33.42687039999999,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7544286,-33.4362582,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.754525,-33.4363647,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7528553,-33.436582200000004,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7524549,-33.436619799999995,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7417289,-33.4363303,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.76377780000001,-33.442117800000005,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7459434,-33.4319338,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7753772,-33.42882109999999,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.774933,-33.4290162,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7744846,-33.4292094,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.773992,-33.4294255,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.746045,-33.444118,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7350281,-33.4547582,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7431787,-33.444782,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7424054,-33.444780699999995,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7665219,-33.4290345,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7600358,-33.4328674,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7730247,-33.44069609999999,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7730364,-33.4409241,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7730527,-33.4411715,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7730644,-33.441364400000005,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7729897,-33.44035899999999,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7729943,-33.4401622,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7729733,-33.4398368,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7729663,-33.4396011,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7729453,-33.4392601,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7729406,-33.4390711,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7729126,-33.43873589999999,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7729056,-33.43852160000001,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7728963,-33.4381709,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7728729,-33.4379585,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7727202,-33.43545259999999,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7726875,-33.435098,parking,25,30,0,,135
,,,,,,,,0,Copec Voltex,charging_station,,,,Pudahuel,-70.8102774,-33.4341101,charging_station,30,40,0,,208
,,,,,,,,0,Enel X,charging_station,,,,Pudahuel,-70.8031015,-33.4551327,charging_station,30,40,0,,208
