electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m,Zmax,Z_inicial
,,,,,,,,0,China House Market,,supermarket,yes,,Recoleta,-70.64334570430258,-33.43156032675766,supermarket,10,,18,0
,,,,,,,,0,,parking,,,,Recoleta,-70.64335566378755,-33.43227903480894,parking,25,,30,0
,,,,,,,,0,,parking,,,,Recoleta,-70.64424038251659,-33.43277683219144,parking,25,,30,0
,,,,,,,,0,,parking,,,,Recoleta,-70.64312657815378,-33.432965480588045,parking,25,,30,0
,,,,,,,,0,,parking,,,,Recoleta,-70.64620764675009,-33.432390026400114,parking,25,,30,0
,,,,,,,,0,,parking,,,,Recoleta,-70.6456739560127,-33.431050068328055,parking,25,,30,0
,,,,,,,,0,Galería Antonia López de Bello,,mall,yes,,Recoleta,-70.64393854336147,-33.43137733264825,mall,20,,50,0
,,,,,,,,0,,parking,,,,Recoleta,-70.64643651381189,-33.43003481848042,parking,25,,30,0
,,,,,,,,0,Mall Paseo Santa Filomena,,mall,,,Recoleta,-70.64477120014435,-33.42926570467219,mall,20,,50,0
,,,,,,,,0,,parking,,,,Recoleta,-70.6476981236291,-33.42991670864573,parking,25,,30,0
,,,,,,,,0,Parque Dominica,,shopping_centre,retail,,Recoleta,-70.6416837695148,-33.42613597407156,shopping_centre,13,,10,0
,,,,,,,,0,,parking,,,,Recoleta,-70.64163567486045,-33.42629021174756,parking,25,,30,0
,,,,,,,,0,,parking,,yes,,Recoleta,-70.6410685321718,-33.43313917228591,parking,25,,30,0
,,,,,,,,0,,parking,,,,Recoleta,-70.63737753084901,-33.43169650644818,parking,25,,30,0
,,,,,,,,0,,parking,,,,Recoleta,-70.63381237803962,-33.40784052271782,parking,25,,30,0
,,,,,,,,0,,parking,,,,Recoleta,-70.63912370283562,-33.43391459572999,parking,25,,30,0
,,,,,,,,0,,parking,,,,Recoleta,-70.63922628234357,-33.43372948745973,parking,25,,30,0
,,,,,,,,0,,parking,,,,Recoleta,-70.63952661876961,-33.434159811540646,parking,25,,30,0
,,,,,,,,0,,parking,,,,Recoleta,-70.64230037218718,-33.430435730381184,parking,25,,30,0
,,,,,,,,0,,parking,,,,Recoleta,-70.64058307832921,-33.43007513692883,parking,25,,30,0
,,,,,,,,0,Ahorra Food Depot,,supermarket,yes,,Recoleta,-70.62586130465672,-33.39519128621539,supermarket,10,,18,0
,,,,,,,,0,Santa Isabel,,supermarket,industrial,,Recoleta,-70.64390278949209,-33.402364746285244,supermarket,10,,18,0
,,,,,,,,0,,parking,,,,Recoleta,-70.64206474819883,-33.393510662619164,parking,25,,30,0
