electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m,paneles_ini,paneles_max,Zmax,Z_inicial
,,,,,,,,0,,parking,,,,Estación Central,-70.68346153512562,-33.446193273135115,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.68622343909516,-33.45203210573813,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.68780488648991,-33.44972694618222,parking,25,,,,30,0
,,,,,,,,0,Petrobras,fuel,,,,Estación Central,-70.72295177993624,-33.46301426433386,fuel,10,,0.0,73.0,20,0
,,,,,,,,0,,parking,,,,Estación Central,-70.67847891002253,-33.47220315336328,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.67834921321216,-33.470995270830805,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.67973535341741,-33.47155003298791,parking,25,,,,30,0
,,,,,,,,0,,,,retail,,Estación Central,-70.6871928624875,-33.453864873068426,retail,6,,,,12,0
,,,,,,,,0,,parking,,,,Estación Central,-70.68687639628223,-33.44462577490992,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.68056825023206,-33.444377062036075,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.68511958176272,-33.4499756611966,parking,25,,,,30,0
,,,,,,,,0,Copec,fuel,,,,Estación Central,-70.69312466159406,-33.459147322211784,fuel,10,,0.0,93.0,20,0
,,,,,,,,0,Estadio Las Rejas,,,,stadium,Estación Central,-70.7094855109721,-33.46492321577592,stadium,20,,,,60,0
,,,,,,,,0,,parking,,,,Estación Central,-70.67968663041069,-33.470973461434525,parking,25,,,,30,0
,,,,,,,,0,Espacio Ruiz Tagle USACH,university,,,,Estación Central,-70.68875852091617,-33.451380107692266,university,10,,,,35,0
,,,,,,,,0,Departamento Ingeniería en Minas USACH - Ex ENAMI,university,,,,Estación Central,-70.68402716256453,-33.44497961005675,university,10,,,,35,0
,,,,,,,,0,,parking,,,,Estación Central,-70.72143770022569,-33.46669759999073,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.69232618796126,-33.47027019858134,parking,25,,,,30,0
,,,,,,,,0,,,,retail,,Estación Central,-70.68717563020944,-33.45350961373052,retail,6,,,,12,0
,,,,,,,,0,,,,commercial,,Estación Central,-70.69995303610328,-33.47411089390565,commercial,10,,,,15,0
,,,,,,,,0,,parking,,,,Estación Central,-70.68849261984252,-33.454474827142775,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.6877357514671,-33.454281838311296,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.68532745584508,-33.45379598569875,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.68665624183085,-33.45400244775216,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.68605755584048,-33.45377232527957,parking,25,,,,30,0
